section,name,alias,type,default,units,dependencies
costMiniGrid,costMiniGrid.MiniGridSystemNodalDiscountedGenerationCost,mg_nod_dgc,SINGLE_STMT_SIMPLE,,dollars,costMiniGrid.MiniGridSystemInitialGenerationCost;costMiniGrid.MiniGridSystemRecurringGenerationCostPerYear;finance.DiscountedCashFlowFactor
costMiniGrid,costMiniGrid.MiniGridSystemInitialCost,mg_ini,SINGLE_STMT_OTHER,,dollars,costDistribution.LowVoltageLineInitialCost;costMiniGrid.GenerationCost;costMiniGrid.GenerationInstallationCost;costMiniGrid.LowVoltageLineEquipmentCost
costMiniGrid,costMiniGrid.MiniGridSystemRecurringCostPerYear,mg_rec,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineRecurringCostPerYear;costMiniGrid.EnergyStorageCostPerYear;costMiniGrid.GenerationOperationsAndMaintenanceCostPerYear;costMiniGrid.GenerationReplacementCostPerYear;costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear
costMiniGrid,costMiniGrid.MiniGridSystemNodalDiscountedCost,mg_nod_d,OTHER,,dollars,costMiniGrid.MiniGridSystemInitialCost;costMiniGrid.MiniGridSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costMiniGrid,costMiniGrid.MiniGridSystemNodalLevelizedCost,mg_nod_lev,OTHER,,dollars per kilowatt-hour,costMiniGrid.MiniGridSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
costDistribution,costDistribution.LowVoltageLineCostPerMeter,di_ll_cm,LEAF_VAR,10,dollars per meter,
costDistribution,costDistribution.LowVoltageLineLifetime,di_ll_life,LEAF_VAR,10,years,
costDistribution,costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,di_ll_omf,LEAF_VAR,0.01,,
costDistribution,costDistribution.LowVoltageLineEquipmentCostPerConnection,di_le_cc,LEAF_VAR,200,dollars per connection,
costDistribution,costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost,di_le_omf,LEAF_VAR,0.01,,
