section,name,alias,type,default,units,dependencies
costOffGrid,costOffGrid.PeakSunHoursPerYear,pksu_hr,LEAF_VAR,1320,hours per year,
costOffGrid,costOffGrid.PhotovoltaicPanelAvailableSystemCapacities,og_pp_cps,LEAF_VAR,1.5 1.0 0.4 0.15 0.075 0.05,kilowatts list,
costOffGrid,costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt,og_pp_ckw,LEAF_VAR,6000,dollars per kilowatt,
costOffGrid,costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost,og_px_cf,LEAF_VAR,0.5,,
costOffGrid,costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt,og_pb_hkw,LEAF_VAR,5,kilowatt-hours per kilowatt,
costOffGrid,costOffGrid.PhotovoltaicBatteryCostPerKilowattHour,og_pb_ckwh,LEAF_VAR,400,dollars per kilowatt-hour,
costOffGrid,costOffGrid.PhotovoltaicPanelLifetime,og_pp_life,LEAF_VAR,30,years,
costOffGrid,costOffGrid.PhotovoltaicBalanceLifetime,og_px_life,LEAF_VAR,10,years,
costOffGrid,costOffGrid.PhotovoltaicBatteryLifetime,og_pb_life,LEAF_VAR,3,years,
costOffGrid,costOffGrid.PhotovoltaicComponentEfficiencyLoss,og_p_loss,LEAF_VAR,0.1,fraction,
costOffGrid,costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost,og_p_omf,LEAF_VAR,0.05,,
costOffGrid,costOffGrid.DieselGeneratorAvailableSystemCapacities,og_dg_cps,LEAF_VAR,1000 750 500 400 200 150 100 70 32 19 12 10 8 6,kilowatts list,
costOffGrid,costOffGrid.DieselGeneratorCostPerDieselSystemKilowatt,og_dg_ck,LEAF_VAR,150,dollars per kilowatt,
costOffGrid,costOffGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost,og_dg_if,LEAF_VAR,0.25,,
costOffGrid,costOffGrid.DieselGeneratorLifetime,og_dg_life,LEAF_VAR,5,years,
costOffGrid,costOffGrid.DieselFuelCostPerLiter,og_fl_cl,LEAF_VAR,1.08,dollars per liter,
costOffGrid,costOffGrid.DieselFuelLitersConsumedPerKilowattHour,og_fl_lkwh,LEAF_VAR,0.5,liters per kilowatt-hour,
costOffGrid,costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear,og_dg_mnhr,LEAF_VAR,1460,hours per year,
costOffGrid,costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost,og_dg_omf,LEAF_VAR,0.01,,
costOffGrid,costOffGrid.PhotovoltaicPanelDesiredSystemCapacity,og_pp_dcp,OTHER,,kilowatts,costOffGrid.PeakSunHoursPerYear;costOffGrid.PhotovoltaicComponentEfficiencyLoss;demand.ProjectedEducationFacilityDemandPerYear;demand.ProjectedHealthFacilityDemandPerYear;demand.ProjectedHouseholdDemandPerYear;demand.ProjectedPublicLightingFacilityDemandPerYear
costOffGrid,costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts,og_pp_acps,SINGLE_STMT_OTHER,,capacity count list,costOffGrid.PhotovoltaicPanelAvailableSystemCapacities;costOffGrid.PhotovoltaicPanelDesiredSystemCapacity
costOffGrid,costOffGrid.PhotovoltaicPanelActualSystemCapacity,og_pp_acp,SINGLE_STMT_OTHER,,kilowatts,costOffGrid.PhotovoltaicPanelActualSystemCapacityCounts;costOffGrid.PhotovoltaicPanelAvailableSystemCapacities
costOffGrid,costOffGrid.PhotovoltaicPanelCost,og_pp_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.PhotovoltaicPanelActualSystemCapacity;costOffGrid.PhotovoltaicPanelCostPerPhotovoltaicComponentKilowatt
costOffGrid,costOffGrid.PhotovoltaicPanelReplacementCostPerYear,og_pp_rep,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.PhotovoltaicPanelCost;costOffGrid.PhotovoltaicPanelLifetime
costOffGrid,costOffGrid.PhotovoltaicBatteryCost,og_pb_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.PhotovoltaicBatteryCostPerKilowattHour;costOffGrid.PhotovoltaicBatteryKilowattHoursPerPhotovoltaicComponentKilowatt;costOffGrid.PhotovoltaicPanelActualSystemCapacity
costOffGrid,costOffGrid.PhotovoltaicBatteryReplacementCostPerYear,og_pb_rep,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.PhotovoltaicBatteryCost;costOffGrid.PhotovoltaicBatteryLifetime
costOffGrid,costOffGrid.PhotovoltaicBalanceCost,og_px_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.PhotovoltaicBalanceCostAsFractionOfPanelCost;costOffGrid.PhotovoltaicPanelCost
costOffGrid,costOffGrid.PhotovoltaicBalanceReplacementCostPerYear,og_px_rep,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.PhotovoltaicBalanceCost;costOffGrid.PhotovoltaicBalanceLifetime
costOffGrid,costOffGrid.PhotovoltaicComponentInitialCost,og_p_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.PhotovoltaicBalanceCost;costOffGrid.PhotovoltaicBatteryCost;costOffGrid.PhotovoltaicPanelCost
costOffGrid,costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear,og_p_om,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.PhotovoltaicComponentInitialCost;costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYearAsFractionOfComponentCost
costOffGrid,costOffGrid.PhotovoltaicComponentRecurringCostPerYear,og_p_rec,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.PhotovoltaicBalanceReplacementCostPerYear;costOffGrid.PhotovoltaicBatteryReplacementCostPerYear;costOffGrid.PhotovoltaicComponentOperationsAndMaintenanceCostPerYear;costOffGrid.PhotovoltaicPanelReplacementCostPerYear
costOffGrid,costOffGrid.DieselGeneratorDesiredSystemCapacity,og_dg_dcp,SINGLE_STMT_OTHER,,kilowatts,demand.ProjectedPeakCommercialFacilityDemand;demand.ProjectedPeakProductiveDemand
costOffGrid,costOffGrid.DieselGeneratorActualSystemCapacityCounts,og_dg_acps,SINGLE_STMT_OTHER,,capacity count list,costOffGrid.DieselGeneratorAvailableSystemCapacities;costOffGrid.DieselGeneratorDesiredSystemCapacity
costOffGrid,costOffGrid.DieselGeneratorActualSystemCapacity,og_dg_acp,SINGLE_STMT_OTHER,,kilowatts,costOffGrid.DieselGeneratorActualSystemCapacityCounts;costOffGrid.DieselGeneratorAvailableSystemCapacities
costOffGrid,costOffGrid.DieselGeneratorCost,og_dg_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.DieselGeneratorActualSystemCapacity;costOffGrid.DieselGeneratorCostPerDieselSystemKilowatt
costOffGrid,costOffGrid.DieselGeneratorInstallationCost,og_dg_i,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost
costOffGrid,costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear,og_dg_om,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost
costOffGrid,costOffGrid.DieselGeneratorReplacementCostPerYear,og_dg_rep,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorLifetime
costOffGrid,costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear,og_dg_efhr,OTHER,,hours per year,costOffGrid.DieselGeneratorActualSystemCapacity;costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear;demand.ProjectedCommercialFacilityDemandPerYear;demand.ProjectedProductiveDemandPerYear
costOffGrid,costOffGrid.DieselFuelCostPerYear,og_fl,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselFuelCostPerLiter;costOffGrid.DieselFuelLitersConsumedPerKilowattHour;costOffGrid.DieselGeneratorActualSystemCapacity;costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
costOffGrid,costOffGrid.DieselComponentInitialCost,og_d_ini,SINGLE_STMT_OTHER,,dollars,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorInstallationCost
costOffGrid,costOffGrid.DieselComponentRecurringCostPerYear,og_d_rec,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.DieselFuelCostPerYear;costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear;costOffGrid.DieselGeneratorReplacementCostPerYear
costOffGrid,costOffGrid.OffGridSystemInitialCost,og_ini,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.DieselComponentInitialCost;costOffGrid.PhotovoltaicComponentInitialCost
costOffGrid,costOffGrid.OffGridSystemRecurringCostPerYear,og_rec,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselComponentRecurringCostPerYear;costOffGrid.PhotovoltaicComponentRecurringCostPerYear
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedCost,og_nod_d,OTHER,,dollars,costOffGrid.OffGridSystemInitialCost;costOffGrid.OffGridSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedDieselFuelCost,og_nod_ddfc,SINGLE_STMT_SIMPLE,,,costOffGrid.DieselFuelCostPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedDieselCost,og_nod_ddc,OTHER,,dollars,costOffGrid.DieselComponentInitialCost;costOffGrid.DieselComponentRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalLevelizedCost,og_nod_lev,OTHER,,dollars per kilowatt-hour,costOffGrid.OffGridSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
finance,finance.TimeHorizon,time,LEAF_VAR,10,years,
finance,finance.InterestRatePerYear,interest_g,LEAF_VAR,0.1,fraction per year,
finance,finance.EconomicGrowthRatePerYear,economic_g,LEAF_VAR,0.06,fraction per year,
finance,finance.ElasticityOfElectricityDemand,elasticity,LEAF_VAR,1.5,,
finance,finance.ElectricityDemandGrowthRatePerYear,dem_g,SINGLE_STMT_OTHER,,fraction per year,finance.EconomicGrowthRatePerYear;finance.ElasticityOfElectricityDemand
finance,finance.ElectricityDemandMultiplier,demf,SINGLE_STMT_SIMPLE,,,finance.ElectricityDemandGrowthRatePerYear;finance.TimeHorizon
finance,finance.DiscountedCashFlowFactor,dcff,OTHER,,,finance.InterestRatePerYear;finance.TimeHorizon
