section,name,type,default,units,dependencies
costOffGrid,costOffGrid.DieselGeneratorInstallationCost,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorInstallationCostAsFractionOfGeneratorCost
costOffGrid,costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost
costOffGrid,costOffGrid.DieselGeneratorReplacementCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorLifetime
costOffGrid,costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear,OTHER,,hours per year,costOffGrid.DieselGeneratorActualSystemCapacity;costOffGrid.DieselGeneratorMinimumHoursOfOperationPerYear;demand.ProjectedCommercialFacilityDemandPerYear;demand.ProjectedProductiveDemandPerYear
costOffGrid,costOffGrid.DieselFuelCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselFuelCostPerLiter;costOffGrid.DieselFuelLitersConsumedPerKilowattHour;costOffGrid.DieselGeneratorActualSystemCapacity;costOffGrid.DieselGeneratorEffectiveHoursOfOperationPerYear
costOffGrid,costOffGrid.DieselComponentInitialCost,SINGLE_STMT_OTHER,,dollars,costOffGrid.DieselGeneratorCost;costOffGrid.DieselGeneratorInstallationCost
costOffGrid,costOffGrid.DieselComponentRecurringCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costOffGrid.DieselFuelCostPerYear;costOffGrid.DieselGeneratorOperationsAndMaintenanceCostPerYear;costOffGrid.DieselGeneratorReplacementCostPerYear
costOffGrid,costOffGrid.OffGridSystemInitialCost,SINGLE_STMT_SIMPLE,,dollars,costOffGrid.DieselComponentInitialCost;costOffGrid.PhotovoltaicComponentInitialCost
costOffGrid,costOffGrid.OffGridSystemRecurringCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costOffGrid.DieselComponentRecurringCostPerYear;costOffGrid.PhotovoltaicComponentRecurringCostPerYear
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedCost,OTHER,,dollars,costOffGrid.OffGridSystemInitialCost;costOffGrid.OffGridSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedDieselFuelCost,SINGLE_STMT_SIMPLE,,,costOffGrid.DieselFuelCostPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalDiscountedDieselCost,OTHER,,dollars,costOffGrid.DieselComponentInitialCost;costOffGrid.DieselComponentRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costOffGrid,costOffGrid.OffGridSystemNodalLevelizedCost,OTHER,,dollars per kilowatt-hour,costOffGrid.OffGridSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
finance,finance.TimeHorizon,LEAF_VAR,10,years,
finance,finance.InterestRatePerYear,LEAF_VAR,0.1,fraction per year,
finance,finance.EconomicGrowthRatePerYear,LEAF_VAR,0.06,fraction per year,
finance,finance.ElasticityOfElectricityDemand,LEAF_VAR,1.5,,
finance,finance.ElectricityDemandGrowthRatePerYear,SINGLE_STMT_OTHER,,fraction per year,finance.EconomicGrowthRatePerYear;finance.ElasticityOfElectricityDemand
finance,finance.ElectricityDemandMultiplier,SINGLE_STMT_SIMPLE,,,finance.ElectricityDemandGrowthRatePerYear;finance.TimeHorizon
finance,finance.DiscountedCashFlowFactor,OTHER,,,finance.InterestRatePerYear;finance.TimeHorizon
demand,demand.HealthFacilityCountCurvePoints,CURVE_POINTS,50 0.16; 500 1.6; 5000 5; 10000 20,population and facility count list,
demand,demand.HealthFacilityCountCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.EducationFacilityCountCurvePoints,CURVE_POINTS,50 0.1; 500 1; 5000 3; 10000 15,population and facility count list,
demand,demand.EducationFacilityCountCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.CommercialFacilityCountCurvePoints,CURVE_POINTS,50 0.12; 500 1.2; 5000 25; 10000 125,population and facility count list,
demand,demand.CommercialFacilityCountCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.PublicLightingFacilityCountCurvePoints,CURVE_POINTS,50 0.1; 500 1; 5000 7; 10000 25,population and facility count list,
demand,demand.PublicLightingFacilityCountCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.HealthFacilityCountCurve,CURVE_FUN,,,demand.HealthFacilityCountCurvePoints;demand.HealthFacilityCountCurveType
demand,demand.ProjectedHealthFacilityCount,CURVE_INTERPOLATE,,health facility count,demand.HealthFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.EducationFacilityCountCurve,CURVE_FUN,,,demand.EducationFacilityCountCurvePoints;demand.EducationFacilityCountCurveType
demand,demand.ProjectedEducationFacilityCount,CURVE_INTERPOLATE,,education facility count,demand.EducationFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.CommercialFacilityCountCurve,CURVE_FUN,,,demand.CommercialFacilityCountCurvePoints;demand.CommercialFacilityCountCurveType
demand,demand.ProjectedCommercialFacilityCount,CURVE_INTERPOLATE,,commercial facility count,demand.CommercialFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.PublicLightingFacilityCountCurve,CURVE_FUN,,,demand.PublicLightingFacilityCountCurvePoints;demand.PublicLightingFacilityCountCurveType
demand,demand.ProjectedPublicLightingFacilityCount,CURVE_INTERPOLATE,,public lighting facility count,demand.PublicLightingFacilityCountCurve;demographics.ProjectedPopulationCount
demand,demand.TargetHouseholdPenetrationRate,LEAF_VAR,1,fraction,
demand,demand.HouseholdUnitDemandPerHouseholdPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.HouseholdDemandCurvePoints,CURVE_POINTS,500 1; 1000 1.56; 5000 6.16; 10000 11.5,population and multiplier list,
demand,demand.HouseholdDemandCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.TargetHouseholdCount,SINGLE_STMT_OTHER,,households,demand.TargetHouseholdPenetrationRate;demographics.ProjectedHouseholdCount
demand,demand.HouseholdDemandCurve,CURVE_FUN,,,demand.HouseholdDemandCurvePoints;demand.HouseholdDemandCurveType
demand,demand.ProjectedHouseholdDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.HouseholdDemandCurve;demand.HouseholdUnitDemandPerHouseholdPerYear;demand.TargetHouseholdCount;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProductiveUnitDemandPerHouseholdPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.ProductiveDemandCurvePoints,CURVE_POINTS,500 1; 1000 3.06; 5000 3.57; 10000 5.10,population and multiplier list,
demand,demand.ProductiveDemandCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.ProductiveDemandCurve,CURVE_FUN,,,demand.ProductiveDemandCurvePoints;demand.ProductiveDemandCurveType
demand,demand.ProjectedProductiveDemandPerYear,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.ProductiveDemandCurve;demand.ProductiveUnitDemandPerHouseholdPerYear;demand.TargetHouseholdCount;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.HealthFacilityUnitDemandPerHealthFacilityPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.EducationFacilityUnitDemandPerEducationFacilityPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear,LEAF_VAR,0,kilowatt-hours per year,
demand,demand.SocialInfrastructureDemandCurvePoints,CURVE_POINTS,500 1; 1000 1.5; 5000 2.25; 10000 3.375,population and multiplier list,
demand,demand.SocialInfrastructureDemandCurveType,CURVE_TYPE,ZeroLogisticLinear,,
demand,demand.SocialInfrastructureDemandCurve,CURVE_FUN,,,demand.SocialInfrastructureDemandCurvePoints;demand.SocialInfrastructureDemandCurveType
