section,name,type,default,units,dependencies
demographics,demographics.PopulationCount,LEAF_VAR,0,person count,
demographics,demographics.RuralPopulationGrowthRatePerYear,LEAF_VAR,0.015,fraction per year,
demographics,demographics.UrbanPopulationGrowthRatePerYear,LEAF_VAR,0.036,fraction per year,
demographics,demographics.RuralMeanHouseholdSize,LEAF_VAR,9.6,person count,
demographics,demographics.UrbanMeanHouseholdSize,LEAF_VAR,7.5,person count,
demographics,demographics.UrbanPopulationThreshold,LEAF_VAR,5000,person count,
demographics,demographics.MeanInterhouseholdDistance,LEAF_VAR,25,meters,
demographics,demographics.ProjectedPopulationCounts,OTHER,,person count list,demographics.PopulationCount;demographics.RuralPopulationGrowthRatePerYear;demographics.UrbanPopulationGrowthRatePerYear;demographics.UrbanPopulationThreshold;finance.TimeHorizon
demographics,demographics.ProjectedPopulationCount,SINGLE_STMT_OTHER,,person count,demographics.ProjectedPopulationCounts
demographics,demographics.IsRural,SINGLE_STMT_OTHER,,binary,demographics.ProjectedPopulationCount;demographics.UrbanPopulationThreshold
demographics,demographics.MeanHouseholdSize,SINGLE_STMT_OTHER,,person count,demographics.IsRural;demographics.RuralMeanHouseholdSize;demographics.UrbanMeanHouseholdSize
demographics,demographics.ProjectedHouseholdCount,SINGLE_STMT_OTHER,,households,demographics.MeanHouseholdSize;demographics.ProjectedPopulationCount
costMiniGrid,costMiniGrid.DistributionLoss,LEAF_VAR,0.1,fraction,
costMiniGrid,costMiniGrid.GenerationAvailableSystemCapacities,LEAF_VAR,1000 750 500 400 200 150 100 70 32 19 12 6,kilowatts list,
costMiniGrid,costMiniGrid.GenerationCostPerSystemKilowatt,LEAF_VAR,150,dollars per kilowatt,
costMiniGrid,costMiniGrid.GenerationInstallationCostAsFractionOfGenerationCost,LEAF_VAR,0.25,fraction,
costMiniGrid,costMiniGrid.GenerationLifetime,LEAF_VAR,5,years,
costMiniGrid,costMiniGrid.EnergyStorageCostPerKilowattHour,LEAF_VAR,0.54,dollars per kilowatt-hour,
costMiniGrid,costMiniGrid.PercentOfDailyKilowattHourLoadRequiringStorage,LEAF_VAR,1.0,fraction,
costMiniGrid,costMiniGrid.MinimumEnergyStorageCapacity,LEAF_VAR,24,kilowatt-hours per day,
costMiniGrid,costMiniGrid.GenerationCapacityFactor,LEAF_VAR,1.0,fraction,
costMiniGrid,costMiniGrid.UtilizationFactor,LEAF_VAR,0.416667,fraction,
costMiniGrid,costMiniGrid.GenerationOperationsAndMaintenanceCostPerYearAsFractionOfGenerationCost,LEAF_VAR,0.01,fraction,
costMiniGrid,costMiniGrid.GenerationDesiredSystemCapacity,OTHER,,kilowatts,costMiniGrid.DistributionLoss;costMiniGrid.GenerationCapacityFactor;costMiniGrid.UtilizationFactor;demand.ProjectedNodalDemandPerYear
costMiniGrid,costMiniGrid.GenerationActualSystemCapacityCounts,SINGLE_STMT_OTHER,,capacity count list,costMiniGrid.GenerationAvailableSystemCapacities;costMiniGrid.GenerationDesiredSystemCapacity
costMiniGrid,costMiniGrid.GenerationActualSystemCapacity,SINGLE_STMT_OTHER,,kilowatts,costMiniGrid.GenerationActualSystemCapacityCounts;costMiniGrid.GenerationAvailableSystemCapacities
costMiniGrid,costMiniGrid.LowVoltageLineEquipmentCost,SINGLE_STMT_SIMPLE,,dollars,costDistribution.LowVoltageLineEquipmentCostPerConnection;demand.TargetHouseholdCount
costMiniGrid,costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;costMiniGrid.LowVoltageLineEquipmentCost
costMiniGrid,costMiniGrid.GenerationCost,SINGLE_STMT_SIMPLE,,dollars,costMiniGrid.GenerationActualSystemCapacity;costMiniGrid.GenerationCostPerSystemKilowatt
costMiniGrid,costMiniGrid.GenerationInstallationCost,SINGLE_STMT_SIMPLE,,dollars,costMiniGrid.GenerationCost;costMiniGrid.GenerationInstallationCostAsFractionOfGenerationCost
costMiniGrid,costMiniGrid.GenerationOperationsAndMaintenanceCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costMiniGrid.GenerationCost;costMiniGrid.GenerationOperationsAndMaintenanceCostPerYearAsFractionOfGenerationCost
costMiniGrid,costMiniGrid.GenerationReplacementCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costMiniGrid.GenerationCost;costMiniGrid.GenerationLifetime
costMiniGrid,costMiniGrid.EnergyStorageDemandPerYear,OTHER,,kilowatt-hours per year,costMiniGrid.DistributionLoss;costMiniGrid.MinimumEnergyStorageCapacity;costMiniGrid.PercentOfDailyKilowattHourLoadRequiringStorage;demand.ProjectedNodalDemandPerYear
costMiniGrid,costMiniGrid.EnergyStorageCostPerYear,SINGLE_STMT_SIMPLE,,dollars per year,costMiniGrid.EnergyStorageCostPerKilowattHour;costMiniGrid.EnergyStorageDemandPerYear
costMiniGrid,costMiniGrid.MiniGridSystemNodalDiscountedEnergyStorageCost,SINGLE_STMT_SIMPLE,,dollars,costMiniGrid.EnergyStorageCostPerYear;finance.DiscountedCashFlowFactor
costMiniGrid,costMiniGrid.MiniGridSystemInitialGenerationCost,SINGLE_STMT_OTHER,,dollars,costMiniGrid.GenerationCost;costMiniGrid.GenerationInstallationCost
costMiniGrid,costMiniGrid.MiniGridSystemRecurringGenerationCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costMiniGrid.EnergyStorageCostPerYear;costMiniGrid.GenerationOperationsAndMaintenanceCostPerYear;costMiniGrid.GenerationReplacementCostPerYear
costMiniGrid,costMiniGrid.MiniGridSystemNodalDiscountedGenerationCost,SINGLE_STMT_SIMPLE,,dollars,costMiniGrid.MiniGridSystemInitialGenerationCost;costMiniGrid.MiniGridSystemRecurringGenerationCostPerYear;finance.DiscountedCashFlowFactor
costMiniGrid,costMiniGrid.MiniGridSystemInitialCost,SINGLE_STMT_OTHER,,dollars,costDistribution.LowVoltageLineInitialCost;costMiniGrid.GenerationCost;costMiniGrid.GenerationInstallationCost;costMiniGrid.LowVoltageLineEquipmentCost
costMiniGrid,costMiniGrid.MiniGridSystemRecurringCostPerYear,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineRecurringCostPerYear;costMiniGrid.EnergyStorageCostPerYear;costMiniGrid.GenerationOperationsAndMaintenanceCostPerYear;costMiniGrid.GenerationReplacementCostPerYear;costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear
costMiniGrid,costMiniGrid.MiniGridSystemNodalDiscountedCost,OTHER,,dollars,costMiniGrid.MiniGridSystemInitialCost;costMiniGrid.MiniGridSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costMiniGrid,costMiniGrid.MiniGridSystemNodalLevelizedCost,OTHER,,dollars per kilowatt-hour,costMiniGrid.MiniGridSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
